Weight, Height, Type of Sportsman
62.0,1.74, {'other'}
68.0,1.69, {'rower'}
81.648,1.9304, {'basketball player'}
56.0,1.68, {'archer'}
66.0,1.75, {'other'}
47.0,1.61, {'swimmer'}
64.0,1.8, {'volleyball player'}
99.0,1.84, {'handball player'}
80.0,1.85, {'other'}
81.19439999999999,1.8034, {'hockey player'}
92.988,1.778, {'other'}
69.8544,1.7526, {'other'}
87.0,1.9, {'basketball player'}
73.0296,1.8288, {'hockey player'}
86.184,1.8796, {'other'}
93.8952,1.8288, {'hockey player'}
94.0,1.78, {'weightlifter'}
60.0,1.651, {'wrestler'}
113.0,1.83, {'other'}
76.0,1.77, {'cyclist'}
85.0,1.87, {'cyclist'}
84.8232,1.8288, {'other'}
80.74080000000001,1.7526, {'hockey player'}
78.0192,1.7526, {'other'}
100.24560000000001,2.15265, {'basketball player'}
68.0,1.71, {'other'}
54.0,1.66, {'rower'}
72.0,1.76, {'cyclist'}
73.0,1.74, {'cyclist'}
92.0,1.91, {'rower'}
77.0,1.86, {'cyclist'}
58.0,1.65, {'other'}
82.0,1.78, {'rugby player'}
72.1224,1.778, {'other'}
92.988,1.905, {'hockey player'}
70.0,1.76, {'other'}
98.8848,1.9304, {'hockey player'}
87.54480000000001,1.8034, {'other'}
83.916,1.905, {'other'}
83.916,1.8034, {'hockey player'}
91.0,1.91, {'handball player'}
79.0,1.79, {'handball player'}
86.184,1.8034, {'hockey player'}
97.07039999999999,1.905, {'other'}
92.988,1.8288, {'hockey player'}
76.0,1.86, {'other'}
85.0,1.85, {'golf player'}
81.648,1.778, {'hockey player'}
72.0,1.83, {'horse rider'}
82.1016,1.7526, {'other'}
70.0,1.86, {'other'}
74.844,1.8542, {'golf player'}
79.38,1.8034, {'other'}
86.184,1.8796, {'hockey player'}
70.0,1.8, {'tennis player'}
83.916,1.8034, {'other'}
80.0,1.88, {'volleyball player'}
102.06,1.905, {'hockey player'}
95.256,1.9812, {'hockey player'}
80.74080000000001,1.8542, {'hockey player'}
102.96719999999999,1.9558, {'other'}
55.0,1.59, {'wrestler'}
86.184,1.8288, {'other'}
64.8648,1.778, {'golf player'}
72.1224,1.7018, {'hockey player'}
96.0,1.92, {'handball player'}
68.0,1.73, {'swimmer'}
77.0,1.83, {'other'}
63.0,1.68, {'swimmer'}
95.0,1.9, {'volleyball player'}
92.988,1.8288, {'other'}
83.916,1.8796, {'martial artist'}
112.0,1.91, {'martial artist'}
123.8328,2.1082, {'basketball player'}
80.0,1.81, {'other'}
83.0,1.73, {'rugby player'}
90.0,2.09, {'volleyball player'}
87.99839999999999,1.8542, {'other'}
60.0,1.74, {'cyclist'}
77.0,1.8, {'volleyball player'}
115.668,2.0701, {'basketball player'}
86.184,1.8034, {'other'}
136.08,1.9304, {'other'}
76.0,1.85, {'boxer'}
117.936,2.1082, {'basketball player'}
104.328,1.9304, {'other'}
78.0192,1.778, {'basketball player'}
111.132,2.0574, {'basketball player'}
86.184,1.8288, {'other'}
97.524,1.9558, {'basketball player'}
70.0,1.76, {'other'}
99.792,1.905, {'hockey player'}
126.5544,2.1082, {'basketball player'}
86.184,1.7018, {'other'}
104.328,1.9558, {'basketball player'}
81.648,1.8542, {'other'}
65.772,1.7018, {'hockey player'}
92.988,1.8796, {'other'}
108.77328,2.032, {'basketball player'}
97.524,1.9812, {'basketball player'}
88.452,1.905, {'basketball player'}
68.04,1.651, {'hockey player'}
69.0,1.76, {'badminton player'}
108.864,1.9812, {'hockey player'}
86.00256,1.8796, {'martial artist'}
86.184,2.2098, {'basketball player'}
90.72,1.8796, {'basketball player'}
97.524,2.0574, {'basketball player'}
90.72,1.9304, {'basketball player'}
104.328,1.8796, {'hockey player'}
90.72,1.9812, {'basketball player'}
85.27680000000001,1.8288, {'other'}
84.8232,1.8034, {'other'}
156.492,1.8796, {'martial artist'}
88.452,1.8288, {'hockey player'}
110.0,1.88, {'rugby player'}
108.864,2.032, {'basketball player'}
122.472,1.9558, {'other'}
100.0,1.87, {'rugby player'}
95.256,1.9812, {'basketball player'}
80.0,1.8, {'golf player'}
90.0,1.8, {'rugby player'}
79.38,1.905, {'basketball player'}
90.72,1.8034, {'other'}
70.308,1.8034, {'martial artist'}
89.3592,1.8796, {'other'}
86.184,1.8288, {'basketball player'}
77.112,1.7526, {'basketball player'}
74.0,1.84, {'volleyball player'}
68.0,1.72, {'sailor'}
60.0,1.65, {'other'}
72.0,1.78, {'other'}
111.132,2.1336, {'basketball player'}
80.0,1.73, {'shooter'}
72.0,1.83, {'other'}
84.0,1.94, {'other'}
62.0,1.73, {'other'}
100.69919999999999,1.8796, {'other'}
62.0,1.69, {'swimmer'}
83.916,1.9304, {'basketball player'}
75.0,1.9, {'other'}
83.00880000000001,1.9304, {'basketball player'}
89.81280000000001,2.0066, {'basketball player'}
113.76288000000001,2.1082, {'basketball player'}
53.524800000000006,1.524, {'cyclist'}
58.0,1.65, {'other'}
90.0,1.87, {'other'}
93.0,2.04, {'volleyball player'}
72.576,1.905, {'basketball player'}
68.0,1.8, {'handball player'}
72.0,1.83, {'other'}
80.0,1.87, {'other'}
70.0,1.8, {'other'}
73.0,1.78, {'other'}
80.0,1.85, {'volleyball player'}
70.0,1.75, {'cyclist'}
67.0,1.7, {'cyclist'}
63.9576,1.8288, {'swimmer'}
51.0,1.6, {'triathlete'}
70.0,1.85, {'volleyball player'}
62.1432,1.7526, {'other'}
65.0,1.88, {'volleyball player'}
72.0,1.85, {'volleyball player'}
56.0,1.69, {'other'}
68.04,1.6256, {'hockey player'}
56.7,1.7018, {'martial artist'}
69.0,1.78, {'handball player'}
79.38,1.8796, {'basketball player'}
113.0,1.85, {'rugby player'}
83.0,1.91, {'other'}
111.0,1.83, {'rugby player'}
104.0,1.83, {'rugby player'}
82.0,1.83, {'rugby player'}
92.0,1.86, {'rugby player'}
97.524,2.00025, {'basketball player'}
85.0,1.94, {'swimmer'}
74.0,1.84, {'cyclist'}
68.0,1.78, {'swimmer'}
80.0,1.84, {'volleyball player'}
86.0,1.93, {'volleyball player'}
58.968,0.0, {'other'}
