Weight, Height, Type of Sportsman
80.0,1.88, {'other'}
79.38,1.7272, {'other'}
90.72,1.8034, {'wrestler'}
83.916,1.905, {'basketball player'}
83.916,1.8796, {'basketball player'}
105.0,1.9, {'rugby player'}
102.51360000000001,2.0574, {'basketball player'}
90.72,1.8542, {'hockey player'}
160.0,2.08, {'other'}
62.0,1.77, {'cyclist'}
123.3792,2.0066, {'other'}
79.38,1.8542, {'basketball player'}
85.0,1.88, {'basketball player'}
111.0,1.85, {'wrestler'}
81.648,1.7526, {'golf player'}
87.99839999999999,1.8542, {'other'}
88.452,1.8034, {'golf player'}
118.0,1.83, {'rugby player'}
73.0296,1.524, {'swimmer'}
90.72,1.8796, {'basketball player'}
70.0,1.83, {'other'}
83.916,1.905, {'basketball player'}
76.0,1.76, {'other'}
68.04,1.651, {'hockey player'}
95.256,1.905, {'other'}
104.328,1.8542, {'other'}
85.0,1.8, {'golf player'}
89.81280000000001,1.905, {'hockey player'}
112.0392,1.8796, {'other'}
75.0,1.81, {'other'}
72.576,1.7018, {'other'}
113.4,1.9304, {'other'}
108.0,1.82, {'rugby player'}
117.0,2.01, {'rugby player'}
70.0,1.74, {'other'}
53.0,1.68, {'other'}
45.0,1.65, {'other'}
58.0,1.64, {'other'}
67.0,1.78, {'volleyball player'}
74.0,1.9, {'volleyball player'}
68.04,1.8796, {'basketball player'}
61.236,1.7272, {'basketball player'}
57.1536,1.6002, {'other'}
52.164,1.5494, {'martial artist'}
62.0,1.75, {'swimmer'}
71.0,1.75, {'rugby player'}
68.0,1.8, {'volleyball player'}
60.3288,1.6256, {'other'}
52.0,1.64, {'other'}
57.0,1.66, {'other'}
65.0,1.84, {'volleyball player'}
58.0,1.62, {'volleyball player'}
54.0,1.63, {'swimmer'}
62.0,1.62, {'tennis player'}
67.0,1.8, {'volleyball player'}
51.0,1.62, {'other'}
57.0,1.63, {'other'}
81.648,1.778, {'basketball player'}
98.8848,2.032, {'basketball player'}
57.0,1.67, {'other'}
77.0,1.92, {'volleyball player'}
88.0,1.8, {'rugby player'}
75.0,1.7272, {'rugby player'}
65.0,1.7, {'other'}
95.256,1.9558, {'basketball player'}
97.0,1.87, {'rugby player'}
93.0,1.9, {'rugby player'}
90.72,1.8542, {'other'}
115.0,1.98, {'rugby player'}
115.0,1.88, {'rugby player'}
92.0,1.82, {'rugby player'}
65.0,1.8, {'other'}
87.99839999999999,1.8034, {'hockey player'}
82.5552,1.8034, {'basketball player'}
89.0,1.85, {'other'}
67.0,1.76, {'other'}
64.0,1.72, {'other'}
65.0,1.8, {'other'}
64.0,1.73, {'swimmer'}
70.308,1.8288, {'martial artist'}
74.0,1.75, {'cyclist'}
79.38,1.8288, {'basketball player'}
70.0,1.73, {'other'}
107.04960000000001,1.9812, {'basketball player'}
66.0,1.78, {'other'}
73.0,1.81, {'cyclist'}
103.0,1.8542, {'rugby player'}
97.97760000000001,1.9558, {'basketball player'}
134.7192,1.8796, {'martial artist'}
78.0,1.79, {'cyclist'}
91.0,1.93, {'basketball player'}
87.0,1.82, {'swimmer'}
83.916,1.8034, {'other'}
62.0,1.58, {'wrestler'}
85.0,1.72, {'weightlifter'}
108.864,1.97485, {'basketball player'}
110.0,1.73, {'rugby player'}
92.0,1.97, {'volleyball player'}
95.256,1.905, {'other'}
90.72,1.8796, {'basketball player'}
71.0,1.86, {'volleyball player'}
69.0,1.74, {'boxer'}
61.0,1.77, {'cyclist'}
54.0,1.73, {'boxer'}
60.0,1.67, {'cyclist'}
117.0288,2.0574, {'basketball player'}
83.916,1.8288, {'basketball player'}
92.988,1.87325, {'basketball player'}
83.0,1.83, {'handball player'}
68.0,1.78, {'cyclist'}
95.256,1.9685, {'basketball player'}
83.0,1.95, {'other'}
95.256,1.9304, {'basketball player'}
111.5856,1.778, {'wrestler'}
50.0,1.6, {'other'}
74.0,1.82, {'cyclist'}
104.328,1.9812, {'basketball player'}
70.7616,1.7272, {'martial artist'}
92.988,1.8796, {'martial artist'}
81.0,1.99, {'volleyball player'}
77.112,1.778, {'martial artist'}
113.4,1.9558, {'other'}
95.256,1.905, {'basketball player'}
95.0,1.98, {'volleyball player'}
95.0,1.96, {'volleyball player'}
111.0,1.96, {'rugby player'}
90.0,1.91, {'swimmer'}
102.06,2.05105, {'basketball player'}
65.0,1.92, {'volleyball player'}
62.0,1.8, {'cyclist'}
90.0,1.89, {'volleyball player'}
86.184,1.8796, {'basketball player'}
87.0,1.97, {'volleyball player'}
85.0,1.94, {'volleyball player'}
68.0,1.7, {'volleyball player'}
100.0,1.88, {'rugby player'}
63.0,1.75, {'other'}
88.0,1.97, {'volleyball player'}
90.72,1.9304, {'basketball player'}
86.184,1.8796, {'basketball player'}
86.0,1.9, {'tennis player'}
77.112,1.7526, {'martial artist'}
110.0,1.85, {'rugby player'}
68.04,1.8288, {'golf player'}
66.0,1.77, {'cyclist'}
86.0,1.93, {'volleyball player'}
72.576,1.7018, {'martial artist'}
102.06,2.0066, {'basketball player'}
82.0,1.92, {'volleyball player'}
107.0,1.98, {'handball player'}
63.0,1.78, {'cyclist'}
90.72,1.8796, {'basketball player'}
87.0912,1.8288, {'other'}
99.792,2.1082, {'basketball player'}
94.0,1.84, {'handball player'}
60.0,1.73, {'cyclist'}
102.06,2.0066, {'other'}
100.0,1.84, {'rugby player'}
105.6888,2.032, {'basketball player'}
48.0,1.65, {'boxer'}
90.0,1.98, {'volleyball player'}
95.256,1.9558, {'basketball player'}
110.2248,1.9558, {'other'}
74.0,1.79, {'cyclist'}
94.0,1.85, {'rugby player'}
109.0,1.88, {'other'}
68.0,1.86, {'cyclist'}
78.0,1.9, {'other'}
95.0,1.87, {'other'}
165.0,2.02, {'other'}
68.0,1.8, {'cyclist'}
69.0,1.88, {'basketball player'}
50.5,1.57, {'other'}
146.0592,2.0574, {'basketball player'}
54.8856,1.524, {'swimmer'}
85.73039999999999,1.9304, {'basketball player'}
90.72,1.92405, {'basketball player'}
104.328,1.778, {'wrestler'}
81.19439999999999,1.88, {'swimmer'}
106.1424,1.905, {'other'}
57.0,1.68, {'swimmer'}
66.0,1.74, {'swimmer'}
66.0,1.71, {'volleyball player'}
56.0,1.7, {'other'}
53.0712,1.6256, {'other'}
108.864,2.032, {'basketball player'}
99.792,2.0066, {'basketball player'}
71.0,1.71, {'other'}
115.668,1.8796, {'martial artist'}
105.0,1.86, {'other'}
78.0,1.91, {'swimmer'}
80.0,1.88, {'other'}
60.0,1.65, {'shooter'}
59.0,1.68, {'volleyball player'}
64.0,1.85, {'volleyball player'}
50.0,1.66, {'other'}
68.0,1.72, {'other'}
55.0,1.65, {'other'}
85.0,1.97, {'other'}
44.0,1.56, {'other'}
52.0,1.54, {'wrestler'}
63.0,1.73, {'swimmer'}
72.0,1.78, {'other'}
65.0,1.75, {'other'}
86.184,1.8542, {'other'}
84.0,1.8, {'rower'}
62.0,1.72, {'swimmer'}
55.0,1.69, {'fencer'}
49.0,1.65, {'other'}
58.0,1.7, {'other'}
79.0,1.83, {'volleyball player'}
57.0,1.71, {'volleyball player'}
62.0,1.74, {'swimmer'}
53.0,1.6, {'swimmer'}
64.0,1.7, {'swimmer'}
80.0,1.88, {'volleyball player'}
66.0,1.73, {'other'}
77.0,1.74, {'handball player'}
62.0,1.72, {'badminton player'}
62.0,1.8, {'swimmer'}
69.0,1.68, {'handball player'}
57.0,1.7, {'swimmer'}
67.0,1.75, {'other'}
68.0,1.78, {'other'}
57.0,1.72, {'handball player'}
67.1328,1.524, {'swimmer'}
68.0,1.65, {'cyclist'}
62.1432,1.524, {'swimmer'}
74.0,1.77, {'other'}
40.0,1.53, {'swimmer'}
68.04,1.778, {'other'}
63.0,1.68, {'swimmer'}
57.0,1.67, {'swimmer'}
55.0,1.71, {'swimmer'}
63.0,1.524, {'swimmer'}
47.0,1.6, {'other'}
79.38,1.8288, {'other'}
65.0,1.67, {'tennis player'}
61.236,1.6256, {'hockey player'}
78.0192,1.8034, {'other'}
90.48,1.65, {'other'}
67.0,1.524, {'shooter'}
60.0,1.56, {'other'}
62.0,1.75, {'swimmer'}
68.0,1.78, {'triathlete'}
60.0,1.68, {'other'}
72.0,1.8, {'tennis player'}
63.0,1.77, {'tennis player'}
52.0,1.63, {'swimmer'}
49.896,1.524, {'swimmer'}
79.38,1.7526, {'basketball player'}
63.0504,1.524, {'swimmer'}
95.256,1.9812, {'basketball player'}
56.0,1.7, {'swimmer'}
59.0,1.75, {'swimmer'}
59.8752,1.524, {'swimmer'}
64.8648,1.524, {'swimmer'}
103.4208,2.0066, {'basketball player'}
70.308,1.7526, {'martial artist'}
91.17360000000001,1.9812, {'basketball player'}
59.0,1.65, {'swimmer'}
57.1536,1.524, {'swimmer'}
79.38,1.8288, {'other'}
72.0,1.76, {'other'}
77.112,1.8034, {'other'}
83.916,1.778, {'other'}
61.236,1.7018, {'martial artist'}
93.0,2.05, {'volleyball player'}
89.3592,1.8542, {'hockey player'}
105.6888,1.8288, {'other'}
106.596,1.9558, {'other'}
82.0,1.98, {'tennis player'}
93.0,1.89, {'other'}
82.0,1.68, {'wrestler'}
97.524,1.905, {'hockey player'}
82.1016,1.8034, {'hockey player'}
78.4728,1.7526, {'hockey player'}
74.844,1.8288, {'hockey player'}
92.988,1.8288, {'other'}
88.452,1.8542, {'other'}
67.0,1.83, {'cyclist'}
89.81280000000001,1.8542, {'other'}
113.0,1.85, {'martial artist'}
99.792,2.0066, {'basketball player'}
86.184,1.8542, {'other'}
92.0808,1.8034, {'hockey player'}
56.7,1.651, {'wrestler'}
90.72,1.8796, {'other'}
95.0,1.94, {'volleyball player'}
92.988,1.905, {'hockey player'}
78.0,1.83, {'swimmer'}
92.988,1.8796, {'hockey player'}
104.328,2.032, {'basketball player'}
97.524,1.778, {'other'}
84.8232,1.8034, {'other'}
98.0,1.8, {'rugby player'}
62.1432,1.8288, {'swimmer'}
66.0,1.65, {'tennis player'}
97.97760000000001,1.8796, {'other'}
114.0,1.83, {'rugby player'}
81.0,1.8, {'other'}
108.864,2.032, {'basketball player'}
81.19439999999999,1.778, {'hockey player'}
91.6272,1.8542, {'hockey player'}
97.07039999999999,1.9812, {'basketball player'}
86.184,1.905, {'volleyball player'}
101.0,1.86, {'rugby player'}
77.112,1.8796, {'golf player'}
92.0,1.84, {'rugby player'}
74.844,1.7526, {'hockey player'}
99.792,1.9304, {'basketball player'}
70.308,1.7272, {'martial artist'}
102.06,1.9558, {'other'}
95.256,1.8796, {'hockey player'}
94.3488,1.9812, {'basketball player'}
97.524,2.1082, {'basketball player'}
117.936,2.1082, {'basketball player'}
93.44160000000001,1.7272, {'other'}
110.6784,1.8542, {'other'}
83.916,1.8542, {'hockey player'}
129.276,1.8796, {'other'}
71.6688,1.7272, {'golf player'}
80.74080000000001,1.8288, {'basketball player'}
79.38,1.8034, {'other'}
92.0808,1.8796, {'hockey player'}
93.0,1.97, {'volleyball player'}
90.0,1.9, {'handball player'}
79.38,1.778, {'basketball player'}
77.0,1.66, {'wrestler'}
82.1016,1.8288, {'hockey player'}
82.0,1.87, {'swimmer'}
61.0,1.63, {'diver'}
68.0,1.85, {'volleyball player'}
92.988,1.8034, {'wrestler'}
82.0,1.9, {'volleyball player'}
86.184,2.0066, {'basketball player'}
81.648,1.8796, {'basketball player'}
47.628,1.5494, {'martial artist'}
90.0,1.93, {'other'}
78.0,1.76, {'martial artist'}
89.81280000000001,1.8034, {'other'}
64.0,1.7, {'other'}
61.236,1.6764000000000001, {'martial artist'}
70.0,1.82, {'volleyball player'}
69.0,1.8, {'volleyball player'}
67.0,1.68, {'basketball player'}
67.0,1.86, {'swimmer'}
65.0,1.8, {'volleyball player'}
65.0,1.81, {'other'}
84.0,1.78, {'rugby player'}
77.112,1.8542, {'martial artist'}
83.0,1.75, {'rugby player'}
67.0,1.75, {'other'}
50.0,1.651, {'cyclist'}
65.0,1.74, {'other'}
64.0,1.7, {'cyclist'}
57.0,1.43, {'other'}
53.9784,1.524, {'swimmer'}
70.0,1.77, {'other'}
60.0,1.72, {'handball player'}
63.504,1.6002, {'other'}
53.0,1.68, {'cyclist'}
68.04,1.778, {'wrestler'}
80.0,1.78, {'volleyball player'}
68.04,1.6764000000000001, {'hockey player'}
72.1224,1.778, {'hockey player'}
52.0,1.73, {'other'}
60.0,1.85, {'volleyball player'}
83.00880000000001,1.905, {'basketball player'}
52.164,1.524, {'swimmer'}
60.7824,1.7526, {'wrestler'}
60.7824,1.524, {'swimmer'}
56.0,1.64, {'other'}
60.7824,1.524, {'swimmer'}
58.0608,1.524, {'swimmer'}
63.0,1.524, {'swimmer'}
89.0,1.68, {'rugby player'}
70.0,1.7, {'other'}
95.256,2.032, {'basketball player'}
56.0,1.68, {'cyclist'}
95.256,1.8034, {'wrestler'}
116.0,1.85, {'rugby player'}
76.2048,1.778, {'hockey player'}
98.8848,1.9558, {'basketball player'}
95.256,1.8288, {'other'}
65.0,1.77, {'rugby player'}
78.9264,1.7272, {'hockey player'}
79.38,1.8034, {'other'}
85.0,1.79, {'rugby player'}
79.38,1.8542, {'basketball player'}
79.38,1.8288, {'hockey player'}
107.04960000000001,1.8034, {'other'}
91.6272,1.8288, {'other'}
71.0,1.84, {'volleyball player'}
59.8752,1.651, {'other'}
57.0,1.61, {'rower'}
56.0,1.58, {'other'}
56.0,1.58, {'table tennis player'}
63.0,1.83, {'volleyball player'}
68.04,1.651, {'hockey player'}
80.0,1.87, {'handball player'}
81.648,1.8288, {'other'}
88.0,2.03, {'basketball player'}
94.80239999999999,1.8034, {'wrestler'}
95.256,2.032, {'basketball player'}
97.524,1.9812, {'basketball player'}
99.792,2.0066, {'basketball player'}
95.256,2.032, {'basketball player'}
97.524,2.0066, {'basketball player'}
90.72,1.905, {'basketball player'}
106.596,2.0827999999999998, {'basketball player'}
92.988,2.032, {'basketball player'}
80.74080000000001,1.778, {'hockey player'}
81.648,1.8796, {'basketball player'}
89.81280000000001,1.8542, {'hockey player'}
87.0,1.93, {'volleyball player'}
106.596,2.0574, {'basketball player'}
107.9568,1.8034, {'other'}
140.1624,1.9304, {'other'}
92.988,1.8288, {'other'}
83.00880000000001,1.778, {'other'}
72.0,1.83, {'tennis player'}
73.0,1.89, {'swimmer'}
110.0,1.91, {'rower'}
83.0,1.91, {'swimmer'}
54.0,1.64, {'boxer'}
93.0,1.83, {'rugby player'}
69.0,1.81, {'volleyball player'}
61.0,1.68, {'swimmer'}
84.0,1.9, {'volleyball player'}
66.0,1.82, {'volleyball player'}
68.0,1.74, {'volleyball player'}
67.0,1.79, {'swimmer'}
70.0,1.83, {'volleyball player'}
77.112,1.7526, {'basketball player'}
50.0,1.7, {'other'}
112.0392,2.0827999999999998, {'basketball player'}
70.0,1.71, {'other'}
81.648,1.8542, {'hockey player'}
87.99839999999999,1.8288, {'hockey player'}
94.3488,1.9685, {'basketball player'}
98.0,1.82, {'other'}
137.0,1.89, {'rugby player'}
86.184,1.905, {'basketball player'}
82.0,1.7, {'wrestler'}
118.0,1.83, {'rugby player'}
86.0,1.8, {'rugby player'}
83.916,1.905, {'basketball player'}
90.0,1.96, {'basketball player'}
79.38,1.778, {'golf player'}
70.0,1.78, {'other'}
88.452,1.905, {'hockey player'}
66.0,1.7, {'other'}
79.0,1.73, {'other'}
107.9568,2.0574, {'basketball player'}
77.0,1.89, {'volleyball player'}
87.0912,1.9558, {'basketball player'}
70.0,1.9, {'volleyball player'}
93.0,1.93, {'swimmer'}
83.46239999999999,1.8542, {'martial artist'}
120.0,1.88, {'rugby player'}
106.596,2.1844, {'basketball player'}
60.0,1.72, {'volleyball player'}
55.0,1.64, {'wrestler'}
94.80239999999999,1.9304, {'basketball player'}
98.4312,1.9304, {'hockey player'}
112.0,1.92, {'martial artist'}
83.916,1.8034, {'hockey player'}
61.0,1.78, {'cyclist'}
78.9264,1.778, {'other'}
76.6584,1.778, {'hockey player'}
95.256,1.8542, {'hockey player'}
92.988,1.8542, {'golf player'}
83.916,1.8288, {'swimmer'}
74.844,1.7526, {'golf player'}
104.328,1.8034, {'wrestler'}
77.112,1.8034, {'basketball player'}
77.112,1.7526, {'hockey player'}
102.96719999999999,1.905, {'hockey player'}
117.0,1.96, {'rugby player'}
86.184,1.778, {'other'}
124.74,1.8288, {'other'}
108.864,1.9557999999999998, {'wrestler'}
91.6272,1.7272, {'wrestler'}
115.668,2.0827999999999998, {'basketball player'}
61.236,1.6764000000000001, {'martial artist'}
72.0,1.9, {'cyclist'}
78.02,1.78, {'other'}
69.0,1.7, {'swimmer'}
88.452,1.905, {'other'}
97.524,1.8796, {'other'}
101.6064,1.9304, {'other'}
86.184,1.9304, {'basketball player'}
78.9264,1.8034, {'hockey player'}
83.916,1.8034, {'hockey player'}
78.4728,1.778, {'other'}
79.38,1.8288, {'swimmer'}
77.112,1.778, {'martial artist'}
77.5656,1.8288, {'martial artist'}
97.524,2.032, {'basketball player'}
83.46239999999999,1.8542, {'hockey player'}
88.452,1.8288, {'hockey player'}
122.472,2.1082, {'basketball player'}
86.0,1.78, {'rugby player'}
84.3696,1.8034, {'hockey player'}
90.0,1.75, {'rugby player'}
77.112,1.8288, {'martial artist'}
145.6056,1.9558, {'other'}
98.0,1.85, {'rugby player'}
85.27680000000001,1.8034, {'hockey player'}
81.648,1.8288, {'other'}
92.988,1.8542, {'other'}
140.616,1.905, {'other'}
92.988,1.7526, {'other'}
115.0,1.96, {'rugby player'}
154.224,2.032, {'other'}
81.19439999999999,1.7526, {'wrestler'}
95.256,1.7526, {'other'}
94.80239999999999,1.905, {'other'}
89.0,1.81, {'rugby player'}
90.0,1.86, {'rugby player'}
97.524,1.8542, {'other'}
102.06,1.9558, {'hockey player'}
106.596,1.7526, {'wrestler'}
94.80239999999999,1.8542, {'other'}
95.256,1.905, {'hockey player'}
116.0,1.87, {'rower'}
77.8,1.86, {'swimmer'}
41.0,1.58, {'other'}
68.0,1.75, {'volleyball player'}
84.0,1.82, {'wrestler'}
70.0,1.7, {'martial artist'}
53.0,1.79, {'volleyball player'}
51.0,1.62, {'other'}
72.0,1.77, {'volleyball player'}
65.0,1.72, {'shooter'}
90.0,1.99, {'volleyball player'}
86.0,1.71, {'wrestler'}
90.72,1.9812, {'basketball player'}
78.0192,1.8796, {'basketball player'}
68.0,1.71, {'badminton player'}
59.0,1.75, {'cyclist'}
60.0,1.75, {'tennis player'}
66.0,1.75, {'other'}
68.0,1.75, {'badminton player'}
62.0,1.7, {'other'}
65.772,1.7526, {'martial artist'}
50.0,1.64, {'swimmer'}
97.0,1.9, {'rugby player'}
68.0,1.524, {'other'}
63.504,1.7018, {'other'}
59.0,1.68, {'tennis player'}
72.1224,1.7, {'martial artist'}
68.04,1.7526, {'basketball player'}
79.38,1.8288, {'golf player'}
104.328,2.0827999999999998, {'basketball player'}
86.184,1.8034, {'other'}
79.8336,1.8034, {'other'}
111.132,1.9812, {'basketball player'}
105.0,1.83, {'rugby player'}
56.0,1.75, {'swimmer'}
56.0,1.58, {'wrestler'}
67.0,1.8, {'volleyball player'}
92.988,1.8288, {'basketball player'}
83.0,1.83, {'swimmer'}
60.0,1.71, {'swimmer'}
58.0,1.74, {'volleyball player'}
82.0,1.9, {'volleyball player'}
140.0,1.93, {'other'}
76.0,1.84, {'volleyball player'}
88.452,1.9304, {'basketball player'}
64.0,1.77, {'volleyball player'}
76.0,1.8, {'other'}
88.0,1.95, {'volleyball player'}
70.0,1.75, {'martial artist'}
115.668,2.1082, {'basketball player'}
72.0,1.8, {'volleyball player'}
58.0,1.65, {'cyclist'}
88.9056,1.778, {'other'}
69.0,1.73, {'other'}
70.0,1.78, {'swimmer'}
61.0,1.75, {'swimmer'}
61.0,1.7, {'other'}
64.0,1.8, {'swimmer'}
57.1536,1.778, {'martial artist'}
54.432,1.8288, {'swimmer'}
85.27680000000001,1.9558, {'basketball player'}
64.4112,1.6764000000000001, {'basketball player'}
87.0912,1.9812, {'basketball player'}
50.0,1.53, {'other'}
64.0,1.7, {'other'}
84.0,1.94, {'volleyball player'}
92.988,1.778, {'other'}
81.648,1.8288, {'basketball player'}
65.0,1.8, {'volleyball player'}
95.256,2.0066, {'basketball player'}
88.0,1.94, {'swimmer'}
88.0,1.8, {'rugby player'}
72.0,1.8, {'golf player'}
113.0,1.87, {'rugby player'}
68.0,1.73, {'other'}
71.6688,1.7526, {'golf player'}
97.524,1.9558, {'basketball player'}
111.0,1.9812, {'rugby player'}
82.5552,1.8288, {'tennis player'}
90.72,1.9558, {'basketball player'}
114.3072,1.9812, {'basketball player'}
69.8544,1.651, {'martial artist'}
79.8336,1.7526, {'hockey player'}
92.0808,1.8542, {'hockey player'}
97.524,1.9558, {'basketball player'}
77.112,1.8034, {'other'}
72.0,1.68, {'boxer'}
71.6688,1.524, {'rugby player'}
65.9988,1.524, {'other'}
73.9368,1.524, {'other'}
95.256,1.9558, {'basketball player'}
74.0,1.8, {'other'}
61.236,1.8542, {'golf player'}
86.184,1.8796, {'hockey player'}
83.916,1.8796, {'golf player'}
69.8544,1.8288, {'swimmer'}
97.524,2.0066, {'basketball player'}
102.06,2.0447, {'basketball player'}
92.988,1.8542, {'other'}
81.648,1.8796, {'basketball player'}
77.0,1.85, {'swimmer'}
65.0,1.79, {'martial artist'}
82.0,1.84, {'other'}
103.8744,2.0827999999999998, {'basketball player'}
89.0,1.8288, {'rugby player'}
69.0,1.73, {'other'}
71.0,1.75, {'other'}
102.06,2.032, {'basketball player'}
78.0192,1.7272, {'hockey player'}
74.844,1.8034, {'golf player'}
88.452,1.778, {'hockey player'}
102.06,2.0827999999999998, {'basketball player'}
99.792,1.905, {'basketball player'}
77.112,1.8288, {'basketball player'}
97.524,2.0574, {'basketball player'}
97.524,2.032, {'basketball player'}
81.648,1.905, {'basketball player'}
99.792,2.032, {'basketball player'}
109.0,2.06, {'basketball player'}
81.19439999999999,1.8288, {'swimmer'}
70.0,1.72, {'other'}
84.8232,1.8034, {'other'}
96.1632,1.8796, {'hockey player'}
75.0,1.82, {'other'}
100.0,1.96, {'handball player'}
92.988,2.0066, {'basketball player'}
78.0,1.86, {'swimmer'}
75.0,1.81, {'pentathlete'}
95.0,1.97, {'water polo player'}
88.0,1.8, {'other'}
89.0,1.89, {'other'}
101.0,2.04, {'volleyball player'}
84.0,1.8, {'swimmer'}
75.0,1.94, {'volleyball player'}
79.8336,1.8796, {'basketball player'}
104.328,1.778, {'wrestler'}
99.0,1.84, {'other'}
98.0,0.0182, {'rugby player'}
75.0,1.88, {'tennis player'}
89.0,190.0, {'volleyball player'}
115.0,1.95, {'rower'}
71.2152,1.7272, {'other'}
92.0,1.95, {'handball player'}
80.2872,1.7526, {'other'}
69.0,1.88, {'swimmer'}
85.0,1.82, {'swimmer'}
87.0912,1.905, {'hockey player'}
95.0,2.05, {'volleyball player'}
91.6272,1.8796, {'hockey player'}
67.5864,1.7018, {'hockey player'}
84.5,1.92, {'swimmer'}
83.916,1.8542, {'martial artist'}
92.0,1.95, {'basketball player'}
99.792,2.0827999999999998, {'basketball player'}
75.0,1.86, {'rugby player'}
61.0,1.68, {'cyclist'}
102.06,2.0827999999999998, {'basketball player'}
52.0,1.73, {'other'}
75.0,1.86, {'cyclist'}
106.0,2.05, {'basketball player'}
81.0,1.74, {'cyclist'}
93.0,2.06, {'basketball player'}
91.0,2.01, {'basketball player'}
65.0,1.76, {'cyclist'}
72.0,1.84, {'basketball player'}
87.99839999999999,1.8288, {'hockey player'}
79.8336,1.8542, {'hockey player'}
68.0,1.65, {'other'}
94.80239999999999,1.8288, {'hockey player'}
73.0,1.82, {'volleyball player'}
97.0,1.87, {'rugby player'}
55.0,1.7, {'shooter'}
90.0,1.98, {'basketball player'}
98.0,1.95, {'volleyball player'}
89.0,1.66, {'other'}
89.0,1.778, {'rugby player'}
98.0,1.8, {'rugby player'}
88.452,1.9558, {'basketball player'}
82.55381134,1.8542, {'rugby player'}
90.0,1.87, {'rugby player'}
72.576,1.7526, {'other'}
94.0,1.84, {'rugby player'}
81.19439999999999,1.7526, {'other'}
70.0,1.74, {'other'}
74.3904,1.778, {'hockey player'}
95.256,1.8542, {'other'}
89.3592,1.8542, {'hockey player'}
84.0,1.78, {'wrestler'}
89.81280000000001,1.8288, {'other'}
79.38,1.7526, {'golf player'}
80.0,1.75, {'rugby player'}
96.0,1.85, {'rugby player'}
85.0,1.74, {'rugby player'}
70.308,1.7526, {'martial artist'}
74.844,1.7018, {'golf player'}
90.0,1.8, {'rugby player'}
92.0,1.85, {'rugby player'}
86.6376,1.905, {'other'}
99.3384,1.778, {'wrestler'}
70.308,1.8034, {'martial artist'}
90.72,2.032, {'basketball player'}
70.308,1.8034, {'golf player'}
98.8848,1.8796, {'other'}
124.74,1.8034, {'wrestler'}
104.328,2.0827999999999998, {'basketball player'}
74.844,1.778, {'basketball player'}
117.936,2.0066, {'basketball player'}
109.0,1.83, {'rugby player'}
97.0,1.87, {'rugby player'}
79.38,1.7526, {'other'}
92.988,1.9812, {'basketball player'}
79.38,1.778, {'basketball player'}
100.69919999999999,2.0574, {'basketball player'}
83.916,1.778, {'other'}
85.0,1.75, {'rugby player'}
95.256,1.9812, {'basketball player'}
119.0,1.98, {'rugby player'}
92.988,1.8288, {'other'}
86.184,1.778, {'hockey player'}
86.184,1.8542, {'wrestler'}
101.60469087999999,1.8288, {'rugby player'}
82.0,1.73, {'rugby player'}
104.328,1.9812, {'basketball player'}
86.184,1.8288, {'hockey player'}
77.112,1.8034, {'hockey player'}
111.132,1.9812, {'basketball player'}
65.772,1.524, {'other'}
99.792,1.8542, {'other'}
102.0,1.86, {'rugby player'}
83.916,1.8034, {'hockey player'}
81.648,1.8034, {'hockey player'}
74.844,1.6764000000000001, {'hockey player'}
76.2048,1.8288, {'golf player'}
82.0,1.75, {'rugby player'}
87.0,1.77, {'rugby player'}
74.844,1.7526, {'hockey player'}
110.0,1.83, {'rugby player'}
104.328,1.8034, {'wrestler'}
89.3592,1.8542, {'hockey player'}
104.328,2.0827999999999998, {'basketball player'}
84.3696,1.8542, {'other'}
56.7,1.651, {'martial artist'}
88.0,1.8, {'rugby player'}
92.988,1.8034, {'wrestler'}
90.7,1.93, {'cyclist'}
80.0,1.78, {'rugby player'}
104.0,1.78, {'rugby player'}
86.184,1.8542, {'hockey player'}
86.184,1.8288, {'other'}
84.0,1.73, {'rugby player'}
73.0,1.85, {'cyclist'}
115.0,1.8542, {'rugby player'}
119.0,1.98, {'rugby player'}
87.99839999999999,1.8288, {'other'}
112.0392,1.8034, {'wrestler'}
89.81280000000001,1.9812, {'basketball player'}
70.0,1.72, {'tennis player'}
106.596,2.1082, {'basketball player'}
81.648,1.8034, {'hockey player'}
106.0,1.91, {'rugby player'}
92.988,1.9812, {'basketball player'}
95.256,1.8542, {'other'}
91.6272,1.8288, {'other'}
80.2872,1.8542, {'other'}
101.60469087999999,1.8288, {'rugby player'}
137.8944,1.9558, {'other'}
90.72,1.8034, {'other'}
95.256,2.0066, {'basketball player'}
77.112,1.8288, {'basketball player'}
85.73039999999999,1.8542, {'other'}
100.0,1.78, {'rugby player'}
90.0,1.83, {'rugby player'}
140.616,1.905, {'other'}
81.648,1.8288, {'other'}
106.0,1.89, {'rugby player'}
83.0,1.8034, {'golf player'}
89.0,1.8288, {'rugby player'}
97.0,1.85, {'rugby player'}
116.0,1.83, {'rugby player'}
107.04960000000001,1.905, {'other'}
90.72,1.7272, {'other'}
79.38,1.905, {'basketball player'}
88.9056,1.8542, {'other'}
78.0,1.84, {'cyclist'}
63.0,1.68, {'other'}
103.0,1.79, {'wrestler'}
79.38,1.9558, {'basketball player'}
100.24560000000001,2.032, {'basketball player'}
86.184,1.9812, {'basketball player'}
90.26639999999999,1.8542, {'hockey player'}
81.19439999999999,1.778, {'other'}
86.184,1.778, {'other'}
